Topic,Term,Term Probability
0,music,0.1475
0,birthday,0.0426
0,service,0.0356
0,year,0.0243
0,login,0.0174
0,lookup,0.0164
0,denom,0.0153
0,web,0.0151
0,population,0.0140
0,scan,0.0117
0,cert,0.0112
0,age,0.0104
0,grade,0.0102
0,musician,0.0097
0,mmid,0.0097
1,doc,0.0834
1,view,0.0808
1,product,0.0576
1,format,0.0474
1,download,0.0448
1,documentation,0.0429
1,catalog,0.0420
1,dotnet,0.0417
1,chm,0.0414
1,multimedia,0.0414
1,java,0.0411
1,public,0.0339
1,language,0.0310
1,products,0.0299
1,port,0.0178
2,hours,0.1242
2,tax,0.0932
2,info,0.0433
2,included,0.0233
2,location,0.0228
2,address,0.0218
2,shipping,0.0181
2,seller,0.0161
2,url,0.0128
2,search,0.0112
2,enabled,0.0094
2,county,0.0093
2,valid,0.0092
2,validate,0.0089
2,code,0.0086
3,text,0.1830
3,input,0.0498
3,size,0.0394
3,web,0.0309
3,server,0.0237
3,service,0.0194
3,table,0.0172
3,page,0.0171
3,hours,0.0137
3,version,0.0114
3,period,0.0107
3,braille,0.0075
3,info,0.0065
3,list,0.0058
3,shipping,0.0057
4,description,0.2057
4,total,0.0782
4,items,0.0552
4,company,0.0516
4,stores,0.0483
4,services,0.0407
4,program,0.0259
4,details,0.0258
4,mechanical,0.0254
4,products,0.0241
4,supplier,0.0225
4,telephone,0.0189
4,contact,0.0141
4,city,0.0126
4,directory,0.0119
5,level,0.0534
5,codes,0.0507
5,license,0.0477
5,offer,0.0412
5,postal,0.0411
5,zip,0.0407
5,key,0.0396
5,city,0.0376
5,code,0.0350
5,canadian,0.0335
5,service,0.0310
5,address,0.0301
5,cities,0.0292
5,state,0.0250
5,convert,0.0232
6,number,0.1636
6,search,0.0946
6,business,0.0691
6,methods,0.0498
6,companies,0.0376
6,code,0.0350
6,mobile,0.0316
6,url,0.0313
6,company,0.0256
6,house,0.0251
6,fax,0.0234
6,register,0.0232
6,unit,0.0214
6,returns,0.0208
6,municipality,0.0201
7,return,0.1555
7,country,0.1152
7,details,0.1009
7,service,0.0542
7,ip,0.0377
7,code,0.0312
7,music,0.0276
7,category,0.0220
7,society,0.0217
7,listing,0.0188
7,countries,0.0177
7,geo,0.0138
7,product,0.0129
7,login,0.0125
7,address,0.0094
8,token,0.1219
8,sign,0.0605
8,address,0.0450
8,custom,0.0413
8,remove,0.0385
8,gateway,0.0317
8,update,0.0228
8,line,0.0210
8,iso,0.0184
8,cell,0.0183
8,element,0.0144
8,language,0.0144
8,contact,0.0129
8,street,0.0113
8,province,0.0113
9,messages,0.0679
9,standard,0.0620
9,primary,0.0416
9,report,0.0383
9,number,0.0369
9,code,0.0296
9,address,0.0232
9,send,0.0228
9,mms,0.0186
9,binary,0.0163
9,state,0.0152
9,time,0.0152
9,callback,0.0139
9,callbackurl,0.0135
9,soap,0.0134
10,position,0.0527
10,start,0.0396
10,vendor,0.0229
10,include,0.0204
10,duration,0.0166
10,pay,0.0163
10,token,0.0162
10,shipping,0.0153
10,url,0.0142
10,seller,0.0130
10,positions,0.0127
10,2way,0.0124
10,week,0.0121
10,vehicle,0.0104
10,unit,0.0102
11,sms,0.1679
11,users,0.0940
11,group,0.0744
11,password,0.0711
11,list,0.0616
11,web,0.0507
11,service,0.0494
11,address,0.0424
11,book,0.0400
11,send,0.0389
11,messaging,0.0364
11,string,0.0270
11,2way,0.0174
11,messages,0.0137
11,add,0.0123
12,services,0.0726
12,messenger,0.0572
12,password,0.0532
12,visit,0.0532
12,documentation,0.0529
12,systems,0.0508
12,online,0.0474
12,service,0.0402
12,web,0.0398
12,frith,0.0391
12,latest,0.0391
12,ni,0.0390
12,media,0.0384
12,simple,0.0241
12,user,0.0167
13,user,0.4567
13,group,0.0483
13,send,0.0319
13,reference,0.0293
13,sms,0.0236
13,messages,0.0150
13,address,0.0145
13,unit,0.0137
13,service,0.0134
13,phone,0.0131
13,url,0.0110
13,contact,0.0083
13,messaging,0.0081
13,add,0.0077
13,pay,0.0069
14,status,0.0901
14,time,0.0889
14,count,0.0815
14,pay,0.0314
14,country,0.0304
14,url,0.0268
14,title,0.0174
14,price,0.0150
14,shipping,0.0149
14,lead,0.0145
14,street,0.0131
14,contact,0.0130
14,seller,0.0105
14,number,0.0105
14,phone,0.0102
15,domain,0.1247
15,shop,0.0897
15,integration,0.0841
15,dan,0.0835
15,web,0.0770
15,schema,0.0564
15,local,0.0421
15,system,0.0419
15,accounting,0.0417
15,interacts,0.0416
15,informations,0.0416
15,date,0.0379
15,product,0.0078
15,set,0.0067
15,star,0.0062
16,box,0.1361
16,input,0.0585
16,html,0.0440
16,amazon,0.0435
16,table,0.0433
16,string,0.0399
16,request,0.0253
16,product,0.0246
16,formatted,0.0235
16,requires,0.0226
16,returned,0.0216
16,images,0.0214
16,boxes,0.0214
16,contact,0.0213
16,retrieved,0.0212
17,address,0.0476
17,code,0.0433
17,state,0.0332
17,secondary,0.0309
17,key,0.0284
17,city,0.0277
17,latitude,0.0265
17,longitude,0.0260
17,delivery,0.0243
17,num,0.0241
17,number,0.0239
17,primary,0.0234
17,codes,0.0193
17,zip,0.0172
17,county,0.0161
18,shipping,0.0406
18,seller,0.0262
18,enabled,0.0168
18,category,0.0158
18,feedback,0.0148
18,listing,0.0148
18,profile,0.0139
18,international,0.0132
18,code,0.0130
18,discount,0.0128
18,option,0.0123
18,store,0.0111
18,bay,0.0108
18,bid,0.0104
18,percent,0.0102
19,quantity,0.0549
19,payment,0.0508
19,site,0.0451
19,product,0.0305
19,rate,0.0263
19,shipping,0.0211
19,method,0.0178
19,top,0.0159
19,view,0.0154
19,url,0.0147
19,seller,0.0144
19,enabled,0.0114
19,test,0.0108
19,option,0.0092
19,discount,0.0088
20,xml,0.1601
20,web,0.0966
20,search,0.0766
20,string,0.0636
20,query,0.0382
20,service,0.0345
20,server,0.0297
20,info,0.0213
20,microsoft,0.0192
20,share,0.0191
20,point,0.0182
20,music,0.0173
20,list,0.0079
20,registration,0.0073
20,stream,0.0072
21,set,0.1995
21,free,0.0448
21,distance,0.0353
21,terms,0.0310
21,conditions,0.0261
21,method,0.0225
21,service,0.0224
21,returns,0.0216
21,read,0.0187
21,additional,0.0164
21,usa,0.0107
21,tools,0.0095
21,level,0.0090
21,cities,0.0086
21,city,0.0081
22,day,0.1349
22,year,0.1247
22,date,0.0941
22,web,0.0933
22,holidays,0.0817
22,calculates,0.0737
22,national,0.0712
22,specific,0.0650
22,service,0.0647
22,scotland,0.0388
22,uk,0.0293
22,easter,0.0084
22,holiday,0.0082
22,saint,0.0073
22,bank,0.0046
23,item,0.2953
23,transaction,0.0903
23,pro,0.0466
23,returns,0.0452
23,information,0.0413
23,number,0.0228
23,delete,0.0204
23,import,0.0168
23,message,0.0125
23,creation,0.0119
23,listing,0.0098
23,shipping,0.0091
23,extra,0.0090
23,facility,0.0082
23,comment,0.0081
24,fire,0.0837
24,pig,0.0824
24,month,0.0558
24,hour,0.0538
24,readings,0.0493
24,partner,0.0316
24,forecast,0.0280
24,returns,0.0265
24,relationship,0.0244
24,year,0.0179
24,personal,0.0171
24,reply,0.0152
24,analysis,0.0143
24,primary,0.0105
24,comparison,0.0096
25,dollar,0.0448
25,dinar,0.0257
25,franc,0.0239
25,pound,0.0226
25,peso,0.0222
25,rupee,0.0166
25,currency,0.0123
25,ounces,0.0107
25,shilling,0.0107
25,rate,0.0083
25,conversion,0.0083
25,islands,0.0083
25,lira,0.0083
25,leu,0.0057
25,koruna,0.0057
26,phone,0.1159
26,email,0.1088
26,account,0.0524
26,date,0.0354
26,credit,0.0236
26,source,0.0226
26,url,0.0208
26,payment,0.0190
26,duration,0.0177
26,time,0.0171
26,pay,0.0171
26,address,0.0170
26,lead,0.0166
26,unit,0.0127
26,bank,0.0111
27,account,0.0988
27,data,0.0701
27,web,0.0501
27,service,0.0467
27,credits,0.0452
27,balance,0.0386
27,address,0.0309
27,current,0.0252
27,password,0.0233
27,call,0.0224
27,token,0.0185
27,sms,0.0160
27,uk,0.0139
27,email,0.0137
27,gateway,0.0124
28,server,0.0722
28,dollar,0.0515
28,currency,0.0485
28,provider,0.0449
28,list,0.0374
28,cellular,0.0291
28,india,0.0226
28,undelete,0.0218
28,enter,0.0136
28,rpg,0.0122
28,service,0.0117
28,unlimited,0.0117
28,retrieves,0.0103
28,web,0.0098
28,franc,0.0085
29,message,0.3304
29,access,0.0652
29,account,0.0584
29,service,0.0545
29,software,0.0340
29,accounts,0.0300
29,web,0.0234
29,site,0.0197
29,fixed,0.0129
29,returns,0.0121
29,token,0.0109
29,email,0.0106
29,data,0.0098
29,payment,0.0092
29,information,0.0090
30,meteorology,0.0538
30,ws,0.0533
30,code,0.0310
30,pha,0.0300
30,num,0.0297
30,address,0.0293
30,key,0.0285
30,state,0.0254
30,area,0.0194
30,prediction,0.0185
30,short,0.0184
30,number,0.0182
30,sign,0.0172
30,network,0.0171
30,bar,0.0158
31,order,0.1160
31,period,0.0432
31,send,0.0402
31,numbers,0.0394
31,push,0.0322
31,wap,0.0316
31,messages,0.0283
31,originator,0.0232
31,url,0.0224
31,recipient,0.0194
31,good,0.0176
31,service,0.0167
31,es,0.0151
31,full,0.0150
31,alias,0.0142
